Curve,Î» (Î¼m),Emittance
Curve 1,1.0,0.76
Curve 1,1.3,0.66
Curve 1,1.6,0.64
Curve 1,1.9,0.675
Curve 1,3.0,0.675
Curve 1,3.6,0.685
Curve 1,4.0,0.69
Curve 1,4.2,0.67
Curve 1,4.3,0.665
Curve 1,4.4,0.675
Curve 1,6.0,0.685
Curve 1,6.8,0.71
Curve 1,7.6,0.75
Curve 1,8.0,0.775
Curve 1,8.6,0.8
Curve 1,9.0,0.825
Curve 1,10.0,0.845
Curve 1,10.2,0.86
Curve 1,10.4,0.88
Curve 1,11.8,0.89
Curve 1,13.2,0.91
Curve 1,14.0,0.92
Curve 1,14.7,0.815
Curve 1,15.0,0.78
Curve 3,1.0,0.671
Curve 3,5.05,0.706
Curve 3,5.99,0.706
Curve 3,7.0,0.761
Curve 3,9.37,0.88
Curve 3,10.3,0.908
Curve 3,12.7,0.957
Curve 3,13.7,0.954
Curve 3,14.2,0.933
Curve 3,14.6,0.879
Curve 3,15.0,0.828
Curve 4,1.0,0.726
Curve 4,5.46,0.749
Curve 4,6.77,0.765
Curve 4,7.83,0.805
Curve 4,9.31,0.879
Curve 4,10.3,0.908
Curve 4,12.7,0.957
Curve 4,13.7,0.954
Curve 4,14.2,0.933
Curve 4,14.6,0.879
Curve 4,15.0,0.828
Curve 5,1.0,0.763
Curve 5,4.81,0.767
Curve 5,5.9,0.77
Curve 5,6.87,0.799
Curve 5,7.55,0.848
Curve 5,9.18,0.912
Curve 5,10.1,0.944
Curve 5,11.0,0.966
Curve 5,12.8,0.991
Curve 5,13.3,0.994
Curve 5,14.0,0.979
Curve 5,14.5,0.948
Curve 5,15.0,0.897
Curve 8,1.0,0.735
Curve 8,1.97,0.778
Curve 8,3.11,0.841
Curve 8,6.43,0.882
Curve 8,8.11,0.9
Curve 8,10.4,0.924
Curve 8,11.9,0.94
Curve 8,12.2,0.947
Curve 8,13.3,0.954
Curve 8,13.7,0.962
Curve 8,13.9,0.963
Curve 8,14.4,0.926
Curve 8,14.9,0.873
Curve 8,15.0,0.856
Curve 9,1.0,0.67
Curve 9,2.28,0.672
Curve 9,3.16,0.674
Curve 9,4.61,0.667
Curve 9,5.53,0.671
Curve 9,6.08,0.685
Curve 9,6.86,0.719
Curve 9,8.14,0.777
Curve 9,8.77,0.803
Curve 9,9.56,0.83
Curve 9,11.6,0.879
Curve 9,13.3,0.904
Curve 9,14.1,0.918
Curve 9,14.3,0.911
Curve 9,14.6,0.877
Curve 9,15.0,0.817
